fighter_name,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,ufc_wins,ufc_losses,ufc_kos,ufc_submissions,td_acc_float,td_def_float,win_rate,ko_rate,sub_rate,striking_eff,grappling
Aiemann Zahabi,14,2,0,4.54,47.0,4.08,69%,0.12,14%,83%,0.0,8,2,2,0,0.14,0.83,0.7999999200000081,0.24999996875000394,0.0,1.0861244019138756,0.02380000000000001
Luke Zachrich,14,4,0,4.56,32.0,4.46,62%,0.74,33%,80%,0.0,1,2,0,0,0.33,0.8,0.33333322222225925,0.0,0.0,1.0,0.06599999999999999
Christian Aguilera,14,8,0,2.54,37.0,4.04,48%,0.0,0%,60%,0.0,1,2,1,0,0.0,0.6,0.33333322222225925,0.9999990000010001,0.0,0.6135265700483092,0.0
Junior Albini,14,6,0,3.98,51.0,6.08,52%,1.54,37%,100%,0.0,1,4,1,0,0.37,1.0,0.199999960000008,0.9999990000010001,0.0,0.6440129449838188,0.0
Yoshihiro Akiyama,14,6,0,3.1,41.0,3.62,57%,2.29,67%,92%,1.0,2,5,0,0,0.67,0.92,0.285714244897965,0.0,0.0,0.8333333333333333,0.053599999999999974
Seth Petruzelli,14,8,0,2.17,41.0,2.08,55%,0.46,50%,47%,2.3,0,4,0,0,0.5,0.47,0.0,0.0,0.0,0.9954128440366972,0.265
Razak Al-Hassan,13,5,0,3.27,39.0,3.14,60%,0.65,14%,57%,0.0,0,2,0,0,0.14,0.57,0.0,0.0,0.0,1.0092592592592593,0.06020000000000001
Trevin Jones,13,10,0,2.13,37.0,4.29,39%,0.62,15%,60%,0.2,1,4,1,0,0.15,0.6,0.199999960000008,0.9999990000010001,0.0,0.48519362186788156,0.06
Jordan Vucenic,13,4,0,2.11,45.0,1.9,58%,0.63,14%,44%,0.0,0,2,0,0,0.14,0.44,0.0,0.0,0.0,1.055,0.07840000000000001
Yan Cabral,13,3,0,2.02,47.0,1.98,62%,2.89,35%,37%,1.2,2,3,0,1,0.35,0.37,0.399999920000016,0.0,0.499999750000125,0.9711538461538461,0.22049999999999997
Vitor Petrino,13,2,0,2.75,46.0,2.48,47%,3.04,51%,79%,0.8,6,2,2,2,0.51,0.79,0.7499999062500118,0.33333327777778704,0.33333327777778704,1.065891472868217,0.10709999999999999
Ricardo Almeida,13,5,0,2.02,49.0,1.2,61%,3.74,38%,31%,1.2,6,5,0,3,0.38,0.31,0.5454544958677732,0.0,0.49999991666668053,1.5538461538461539,0.2622
Luke Jumeau,13,5,0,2.93,43.0,3.17,58%,0.25,100%,86%,0.0,2,2,0,0,1.0,0.86,0.49999987500003124,0.0,0.0,0.8960244648318043,0.14
Rosi Sexton,13,5,0,3.31,39.0,7.42,41%,0.75,10%,80%,0.0,0,2,0,0,0.1,0.8,0.0,0.0,0.0,0.4401595744680851,0.019999999999999997
Gan McGee,13,5,0,2.2,29.0,2.31,59%,0.65,25%,83%,0.0,2,2,2,0,0.25,0.83,0.49999987500003124,0.99999950000025,0.0,0.9128630705394191,0.04250000000000001
Ian McCall,13,5,1,3.59,39.0,3.25,67%,2.08,30%,88%,0.0,2,3,0,0,0.3,0.88,0.399999920000016,0.0,0.0,1.071641791044776,0.036
Andre Petroski,13,6,0,2.81,49.0,2.79,53%,3.15,51%,86%,1.3,8,4,1,2,0.51,0.86,0.6666666111111158,0.12499998437500197,0.24999996875000394,0.972318339100346,0.0714
Jai Herbert,13,6,1,3.07,40.0,3.26,53%,0.43,21%,66%,0.0,3,5,1,0,0.21,0.66,0.3749999531250059,0.33333322222225925,0.0,0.9136904761904762,0.07139999999999999
Mauricio Ruffy,13,2,0,4.19,58.0,4.09,58%,0.0,0%,85%,0.0,4,1,3,0,0.0,0.85,0.799999840000032,0.7499998125000469,0.0,1.0000000000000002,0.0
Mirsad Bektic,13,4,0,2.43,41.0,1.8,57%,3.98,52%,92%,0.4,6,4,2,1,0.52,0.92,0.599999940000006,0.33333327777778704,0.16666663888889352,1.2789473684210526,0.04159999999999998
Rodolfo Bellato,13,3,1,5.37,60.0,5.86,46%,1.38,35%,94%,0.2,2,1,2,0,0.35,0.94,0.6666664444445185,0.99999950000025,0.0,0.901006711409396,0.02100000000000002
Bernardo Magalhaes,13,4,0,1.8,27.0,3.37,68%,0.0,0%,0%,0.5,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.5187319884726225,0.0
Dan Moret,13,6,0,2.67,43.0,3.56,43%,1.25,27%,45%,0.4,0,3,0,0,0.27,0.45,0.0,0.0,0.0,0.7295081967213114,0.14850000000000002
Muhammad Mokaev,13,0,0,1.61,45.0,1.35,57%,5.29,41%,25%,0.8,7,0,0,4,0.41,0.25,0.9999998571428775,0.0,0.57142848979593,1.110344827586207,0.3075
Ashkan Mokhtarian,13,3,0,1.95,43.0,3.66,43%,0.54,16%,33%,0.0,0,2,0,0,0.16,0.33,0.0,0.0,0.0,0.5186170212765957,0.10719999999999999
Bryan Battle,13,2,0,5.12,52.0,4.11,44%,0.77,17%,53%,0.4,7,1,3,2,0.17,0.53,0.8749998906250137,0.4285713673469475,0.285714244897965,1.2161520190023754,0.0799
Elias Silverio,13,3,0,3.67,49.0,2.97,51%,1.62,38%,85%,0.2,3,2,0,1,0.38,0.85,0.599999880000024,0.0,0.33333322222225925,1.1954397394136806,0.05700000000000001
Claudio Puelles,13,5,0,1.54,46.0,2.62,48%,3.29,33%,60%,1.0,5,4,0,3,0.33,0.6,0.5555554938271674,0.0,0.599999880000024,0.5661764705882353,0.132
Alex Reyes,13,5,0,4.46,46.0,6.92,48%,1.5,28%,0%,0.0,0,3,0,0,0.28,0.0,0.0,0.0,0.0,0.6353276353276354,0.28
Amanda Ribas,13,7,0,4.26,39.0,3.29,60%,2.05,52%,82%,0.6,7,6,1,2,0.52,0.82,0.5384614970414233,0.1428571224489825,0.285714244897965,1.2566371681415929,0.09360000000000003
Ode Osbourne,13,10,0,2.94,40.0,3.24,49%,0.94,29%,66%,0.4,5,8,3,0,0.29,0.66,0.3846153550295881,0.599999880000024,0.0,0.8802395209580838,0.09859999999999998
Seokhyeon Ko,13,2,0,2.73,59.0,1.42,58%,4.0,63%,75%,0.3,2,0,0,0,0.63,0.75,0.99999950000025,0.0,0.0,1.7960526315789473,0.1575
Rafael Fiziev,13,5,0,4.71,52.0,4.84,49%,0.83,66%,90%,0.0,7,5,3,0,0.66,0.9,0.5833332847222263,0.4285713673469475,0.0,0.9534412955465588,0.06599999999999999
Jake Collier,13,10,0,5.8,44.0,5.08,50%,0.71,33%,67%,0.6,5,9,1,1,0.33,0.67,0.3571428316326549,0.199999960000008,0.199999960000008,1.1196911196911197,0.1089
Bobby Moffett,13,5,0,3.41,39.0,3.15,61%,2.74,66%,66%,1.4,0,2,0,0,0.66,0.66,0.0,0.0,0.0,1.0492307692307692,0.2244
Darrell Montague,13,5,0,1.92,25.0,5.38,52%,0.72,25%,33%,1.4,0,3,0,0,0.25,0.33,0.0,0.0,0.0,0.35036496350364965,0.16749999999999998
Leonardo Mafra,13,4,0,4.55,48.0,4.38,43%,2.12,83%,69%,0.4,1,3,0,0,0.83,0.69,0.24999993750001562,0.0,0.0,1.015625,0.25730000000000003
Steve Lopez,13,6,1,1.39,24.0,2.69,62%,0.0,0%,37%,0.0,0,2,0,0,0.0,0.37,0.0,0.0,0.0,0.4982078853046595,0.0
Ciryl Gane,13,2,0,5.29,61.0,2.33,60%,0.68,25%,47%,0.6,10,2,4,2,0.25,0.47,0.8333332638888947,0.39999996000000404,0.19999998000000202,2.176954732510288,0.1325
Eduardo Garagorri,13,2,0,3.42,51.0,2.36,58%,0.48,100%,61%,0.0,1,2,0,0,1.0,0.61,0.33333322222225925,0.0,0.0,1.3902439024390243,0.39
Austin Vanderford,13,3,0,3.04,59.0,2.71,48%,3.08,35%,100%,1.2,1,1,1,0,0.35,1.0,0.499999750000125,0.9999990000010001,0.0,1.0818505338078293,0.0
Roger Hollett,13,5,0,1.83,47.0,6.47,34%,1.0,28%,30%,0.0,0,2,0,0,0.28,0.3,0.0,0.0,0.0,0.27853881278538817,0.196
Cezar Ferreira,13,8,0,1.9,42.0,2.44,53%,2.69,53%,84%,0.5,9,6,0,3,0.53,0.84,0.5999999600000027,0.0,0.33333329629630043,0.7480314960629921,0.08480000000000001
Francisco Figueiredo,13,5,1,2.04,61.0,2.59,61%,2.51,75%,76%,0.4,2,2,0,1,0.75,0.76,0.49999987500003124,0.0,0.499999750000125,0.758364312267658,0.18
Manon Fiorot,13,2,0,5.66,42.0,3.58,66%,1.05,29%,87%,0.0,8,1,3,0,0.29,0.87,0.8888887901234679,0.3749999531250059,0.0,1.5380434782608696,0.0377
Luke Barnatt,13,4,0,4.43,36.0,3.87,59%,0.63,42%,63%,0.4,3,3,1,1,0.42,0.63,0.49999991666668053,0.33333322222225925,0.33333322222225925,1.1158690176322417,0.15539999999999998
Ray Borg,13,5,0,1.52,52.0,1.93,48%,3.89,50%,46%,1.0,7,5,0,2,0.5,0.46,0.5833332847222263,0.0,0.285714244897965,0.748768472906404,0.27
Luan Lacerda,13,3,0,4.02,46.0,5.79,46%,2.29,41%,66%,0.9,1,2,0,1,0.41,0.66,0.33333322222225925,0.0,0.9999990000010001,0.6825127334465195,0.13939999999999997
Rizvan Kuniev,13,3,1,3.94,54.0,2.33,48%,0.98,75%,93%,0.0,1,1,0,0,0.75,0.93,0.499999750000125,0.0,0.0,1.6213991769547325,0.05249999999999996
Clay Harvison,13,6,0,3.29,48.0,3.91,58%,0.66,100%,68%,1.3,1,2,0,0,1.0,0.68,0.33333322222225925,0.0,0.0,0.8204488778054864,0.31999999999999995
Gadzhi Omargadzhiev,13,2,0,1.8,39.0,2.2,39%,1.35,30%,60%,0.5,0,2,0,0,0.3,0.6,0.0,0.0,0.0,0.7826086956521738,0.12
Harry Hardwick,13,4,1,2.39,34.0,7.16,40%,0.0,0%,0%,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.3292011019283747,0.0
Guram Kutateladze,13,5,0,3.53,45.0,4.22,54%,0.61,15%,75%,0.0,2,3,0,0,0.15,0.75,0.399999920000016,0.0,0.0,0.8171296296296297,0.0375
Khalid Taha,13,5,0,2.64,32.0,4.12,46%,0.0,0%,61%,0.2,1,4,1,0,0.0,0.61,0.199999960000008,0.9999990000010001,0.0,0.6255924170616114,0.0
Alberto Mina,13,1,0,3.23,38.0,3.7,47%,1.85,20%,50%,0.0,3,1,2,0,0.2,0.5,0.7499998125000469,0.6666664444445185,0.0,0.85,0.1
Mike Malott,13,2,1,3.93,48.0,3.06,56%,1.88,50%,14%,0.8,6,1,2,2,0.5,0.14,0.857142734693895,0.33333327777778704,0.33333327777778704,1.2436708860759493,0.43
Shannon Ross,13,9,0,5.96,39.0,7.39,55%,0.0,0%,100%,0.0,0,3,0,0,0.0,1.0,0.0,0.0,0.0,0.7957276368491323,0.0
Jeremiah Wells,13,4,1,2.35,46.0,1.28,48%,3.06,46%,50%,1.3,5,2,2,1,0.46,0.5,0.7142856122449125,0.399999920000016,0.199999960000008,1.7028985507246377,0.23
Walt Harris,13,10,0,3.05,39.0,3.33,54%,0.29,28%,70%,0.1,6,9,6,0,0.28,0.7,0.39999997333333515,0.9999998333333611,0.0,0.8892128279883381,0.08400000000000002
Alex White,13,6,0,3.76,42.0,3.07,60%,0.92,28%,71%,0.5,4,6,2,0,0.28,0.71,0.39999996000000404,0.49999987500003124,0.0,1.1861198738170347,0.08120000000000002
Nicholas Musoke,13,5,0,3.56,35.0,3.8,57%,1.16,19%,82%,0.2,3,3,0,1,0.19,0.82,0.49999991666668053,0.0,0.33333322222225925,0.9128205128205129,0.03420000000000001
Denis Stojnic,13,3,0,1.51,23.0,6.06,36%,0.0,0%,80%,1.0,0,2,0,0,0.0,0.8,0.0,0.0,0.0,0.24512987012987017,0.0
Edgar Chairez,13,6,0,3.65,45.0,4.75,46%,0.0,0%,38%,1.3,3,2,0,2,0.0,0.38,0.599999880000024,0.0,0.6666664444445185,0.7525773195876289,0.0
Sean Woodson,13,2,1,5.57,46.0,4.18,58%,0.58,55%,84%,0.3,7,2,2,0,0.55,0.84,0.7777776913580343,0.285714244897965,0.0,1.3014018691588787,0.08800000000000002
Cal Worsham,13,10,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0,1,2,1,0,0.0,0.0,0.33333322222225925,0.9999990000010001,0.0,0.0,0.0
Justin Wren,13,2,0,3.43,35.0,2.07,64%,0.0,0%,100%,0.0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,1.5806451612903227,0.0
Wu Yanan,13,6,0,4.23,41.0,4.95,49%,0.62,30%,63%,0.2,1,5,0,1,0.3,0.63,0.16666663888889352,0.0,0.9999990000010001,0.8376237623762377,0.111
Sangwook Kim,13,4,0,5.11,55.0,5.82,44%,1.77,22%,72%,1.2,0,1,0,0,0.22,0.72,0.0,0.0,0.0,0.8631756756756758,0.06160000000000001
Ottman Azaitar,13,3,0,4.43,44.0,4.11,52%,0.0,0%,100%,0.0,2,3,2,0,0.0,1.0,0.399999920000016,0.99999950000025,0.0,1.0522565320665083,0.0
Daniel Kelly,13,4,0,3.62,38.0,4.64,61%,1.86,34%,78%,0.3,6,4,1,1,0.34,0.78,0.599999940000006,0.16666663888889352,0.16666663888889352,0.7637130801687765,0.07479999999999999
Joe Solecki,13,6,0,1.97,53.0,1.85,50%,2.06,48%,14%,1.4,5,4,0,2,0.48,0.14,0.5555554938271674,0.0,0.399999920000016,1.0102564102564102,0.4128
Luke Sanders,13,5,0,6.61,52.0,4.37,50%,0.71,30%,72%,0.2,3,5,1,1,0.3,0.72,0.3749999531250059,0.33333322222225925,0.33333322222225925,1.4787472035794185,0.084
Austen Lane,13,7,0,2.74,50.0,2.23,40%,1.52,28%,33%,0.0,1,4,0,0,0.28,0.33,0.199999960000008,0.0,0.0,1.1759656652360515,0.1876
Chad Laprise,13,4,0,4.78,42.0,3.59,65%,1.05,54%,78%,0.0,6,4,3,0,0.54,0.78,0.599999940000006,0.49999991666668053,0.0,1.2953929539295395,0.11879999999999999
Gianni Vazquez,13,5,1,1.6,22.0,3.93,39%,0.0,0%,62%,2.0,0,1,0,0,0.0,0.62,0.0,0.0,0.0,0.39702233250620345,0.0
Johnny Rees,13,5,0,3.29,64.0,0.84,47%,1.15,25%,50%,0.0,0,2,0,0,0.25,0.5,0.0,0.0,0.0,3.5000000000000004,0.125
Muhammad Naimov,13,4,0,2.51,40.0,3.35,44%,1.49,30%,68%,0.2,5,2,2,0,0.3,0.68,0.7142856122449125,0.399999920000016,0.0,0.7275362318840579,0.09599999999999999
Darko Stosic,13,4,0,2.61,45.0,4.04,58%,3.42,50%,83%,0.0,1,3,1,0,0.5,0.83,0.24999993750001562,0.9999990000010001,0.0,0.6304347826086957,0.08500000000000002
Frankie Saenz,13,7,0,3.94,47.0,3.5,52%,1.74,31%,61%,0.1,5,5,0,0,0.31,0.61,0.499999950000005,0.0,0.0,1.0944444444444443,0.12090000000000001
Maria Oliveira,13,7,0,5.03,38.0,5.76,44%,0.95,44%,47%,0.0,1,3,0,0,0.44,0.47,0.24999993750001562,0.0,0.0,0.8583617747440274,0.23320000000000002
Gavin Tucker,13,3,0,4.29,44.0,4.18,57%,3.13,44%,53%,1.5,4,3,0,2,0.44,0.53,0.57142848979593,0.0,0.49999987500003124,1.002336448598131,0.20679999999999998
Shane Howell,13,10,0,1.27,32.0,2.55,42%,0.0,0%,20%,0.0,0,2,0,0,0.0,0.2,0.0,0.0,0.0,0.47924528301886793,0.0
Darrell Horcher,13,4,0,2.05,44.0,4.21,39%,0.35,50%,47%,0.7,1,3,0,0,0.5,0.47,0.24999993750001562,0.0,0.0,0.4756380510440835,0.265
Mark Hunt,13,14,1,2.81,43.0,2.9,51%,0.51,55%,64%,0.2,8,8,7,0,0.55,0.64,0.4999999687500019,0.8749998906250137,0.0,0.9366666666666666,0.198
Polyana Viana,13,8,0,2.74,40.0,2.5,53%,0.75,33%,35%,1.7,4,7,1,3,0.33,0.35,0.3636363305785154,0.24999993750001562,0.7499998125000469,1.0538461538461539,0.21450000000000002
Dean Lister,13,7,0,1.26,35.0,1.89,61%,1.58,15%,50%,1.1,4,2,0,2,0.15,0.5,0.6666665555555741,0.0,0.49999987500003124,0.6331658291457286,0.075
Artem Lobov,13,15,1,3.52,41.0,4.82,50%,0.39,25%,52%,0.0,2,5,0,0,0.25,0.52,0.285714244897965,0.0,0.0,0.7154471544715447,0.12
Kyle Watson,13,8,1,3.67,35.0,3.25,62%,0.0,0%,100%,0.0,1,1,0,0,0.0,1.0,0.499999750000125,0.0,0.0,1.0955223880597014,0.0
Julianna Pena,13,6,0,3.1,44.0,2.56,57%,1.7,54%,24%,0.8,8,4,2,2,0.54,0.24,0.6666666111111158,0.24999996875000394,0.24999996875000394,1.1654135338345863,0.41040000000000004
Grigory Popov,13,3,0,3.63,37.0,4.2,55%,0.0,0%,45%,0.0,0,2,0,0,0.0,0.45,0.0,0.0,0.0,0.8441860465116279,0.0
Ricky Turcios,13,6,0,4.68,39.0,3.84,51%,0.85,17%,44%,0.3,2,4,0,0,0.17,0.44,0.33333327777778704,0.0,0.0,1.1878172588832487,0.09520000000000002
Brad Imes,13,7,0,2.73,31.0,4.24,49%,1.72,71%,0%,1.0,0,3,0,0,0.71,0.0,0.0,0.0,0.0,0.6290322580645161,0.71
Viviane Araujo,13,7,0,3.84,47.0,4.83,55%,1.72,43%,75%,0.6,7,6,1,0,0.43,0.75,0.5384614970414233,0.1428571224489825,0.0,0.7789046653144016,0.1075
Francisco Trevino,13,3,0,2.65,42.0,2.42,64%,0.97,22%,41%,0.0,1,2,0,0,0.22,0.41,0.33333322222225925,0.0,0.0,1.0515873015873016,0.12980000000000003
Andreas Michailidis,13,6,0,2.9,51.0,3.57,44%,1.12,27%,50%,0.0,1,3,0,0,0.27,0.5,0.24999993750001562,0.0,0.0,0.7901907356948229,0.135
Cristiano Marcello,13,6,0,2.56,33.0,3.61,58%,0.44,11%,20%,0.9,1,3,0,0,0.11,0.2,0.24999993750001562,0.0,0.0,0.6900269541778976,0.08800000000000001
Doug Evans,13,10,0,1.79,35.0,2.55,55%,3.19,83%,69%,0.6,0,2,0,0,0.83,0.69,0.0,0.0,0.0,0.6754716981132076,0.25730000000000003
Rodrigo Damm,13,9,0,3.5,36.0,5.61,57%,0.44,16%,80%,0.3,3,4,0,1,0.16,0.8,0.4285713673469475,0.0,0.33333322222225925,0.6129597197898424,0.031999999999999994
Andrew Sanchez,13,7,0,4.3,43.0,5.1,50%,2.55,36%,100%,0.0,5,5,1,0,0.36,1.0,0.499999950000005,0.199999960000008,0.0,0.826923076923077,0.0
Hyun Gyu Lim,13,7,1,4.45,41.0,5.07,51%,0.23,100%,73%,0.2,3,4,3,0,1.0,0.73,0.4285713673469475,0.9999996666667778,0.0,0.8607350096711799,0.27
Lukasz Sajewski,13,3,0,2.06,35.0,3.88,57%,1.01,25%,66%,0.0,0,3,0,0,0.25,0.66,0.0,0.0,0.0,0.5175879396984925,0.08499999999999999
James Vick,13,5,0,4.13,39.0,3.31,60%,0.26,33%,57%,0.7,9,5,2,3,0.33,0.57,0.6428570969387788,0.22222219753086697,0.33333329629630043,1.2111436950146626,0.14190000000000003
Milton Vieira,13,8,2,1.13,35.0,2.36,48%,2.67,53%,12%,0.7,0,1,0,0,0.53,0.12,0.0,0.0,0.0,0.4593495934959349,0.46640000000000004
Liz Carmouche,13,7,0,2.78,54.0,2.51,61%,2.57,51%,65%,0.3,5,5,1,0,0.51,0.65,0.499999950000005,0.199999960000008,0.0,1.0651340996168581,0.1785
Ebenezer Fontes Braga,13,7,2,2.42,50.0,0.42,71%,0.0,0%,90%,0.6,1,0,0,1,0.0,0.9,0.9999990000010001,0.0,0.9999990000010001,4.653846153846153,0.0
Ramiz Brahimaj,13,6,0,2.29,48.0,3.27,47%,1.99,34%,44%,1.6,5,4,1,4,0.34,0.44,0.5555554938271674,0.199999960000008,0.799999840000032,0.6795252225519288,0.19040000000000004
Godofredo Pepey,13,6,0,2.32,38.0,3.23,47%,0.37,7%,35%,1.5,5,6,1,3,0.07,0.35,0.4545454132231443,0.199999960000008,0.599999880000024,0.6966966966966966,0.045500000000000006
Hakeem Dawodu,13,4,1,5.45,50.0,3.37,56%,0.0,0%,65%,0.0,6,4,1,0,0.0,0.65,0.599999940000006,0.16666663888889352,0.0,1.5706051873198847,0.0
Montana De La Rosa,13,9,1,2.9,37.0,3.39,45%,1.85,33%,68%,0.8,6,5,1,3,0.33,0.68,0.5454544958677732,0.16666663888889352,0.49999991666668053,0.8309455587392549,0.10559999999999999
Uros Medic,13,3,0,5.59,60.0,3.42,56%,0.34,50%,55%,0.0,7,3,7,0,0.5,0.55,0.699999930000007,0.9999998571428775,0.0,1.5880681818181819,0.22499999999999998
Steve Erceg,13,4,0,4.0,45.0,3.79,52%,1.15,27%,62%,0.4,4,3,1,0,0.27,0.62,0.57142848979593,0.24999993750001562,0.0,1.0282776349614395,0.10260000000000001
Punahele Soriano,13,4,0,4.42,53.0,3.31,47%,1.97,51%,48%,0.1,7,4,4,0,0.51,0.48,0.636363578512402,0.57142848979593,0.0,1.2961876832844574,0.2652
Zviad Lazishvili,13,1,0,4.2,39.0,6.13,51%,0.0,0%,0%,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.6741573033707866,0.0
Curt Warburton,13,6,0,2.13,42.0,3.44,43%,2.35,50%,83%,0.9,1,2,0,0,0.5,0.83,0.33333322222225925,0.0,0.0,0.6016949152542372,0.08500000000000002
Nicolae Negumereanu,13,2,0,3.58,41.0,5.56,39%,1.02,28%,62%,0.0,4,2,2,0,0.28,0.62,0.6666665555555741,0.49999987500003124,0.0,0.6325088339222615,0.10640000000000001
James Giboo,13,5,0,1.2,27.0,7.08,39%,0.0,0%,0%,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.1671309192200557,0.0
Clifford Starks,13,3,0,1.94,33.0,2.49,58%,1.94,100%,60%,0.0,1,2,0,0,1.0,0.6,0.33333322222225925,0.0,0.0,0.749034749034749,0.4
Mark Godbeer,13,4,0,3.97,53.0,3.3,54%,0.0,0%,28%,0.0,2,2,0,0,0.0,0.28,0.49999987500003124,0.0,0.0,1.1676470588235295,0.0
Dongi Yang,13,3,0,3.55,51.0,3.21,63%,1.7,41%,61%,0.5,2,3,2,0,0.41,0.61,0.399999920000016,0.99999950000025,0.0,1.0725075528700905,0.1599
Chad Anheliger,13,8,0,3.11,46.0,2.76,53%,0.68,30%,38%,0.5,2,3,1,0,0.3,0.38,0.399999920000016,0.499999750000125,0.0,1.0874125874125875,0.186
Mike Massenzio,13,9,0,2.08,45.0,3.59,54%,2.74,24%,50%,1.4,2,5,0,1,0.24,0.5,0.285714244897965,0.0,0.499999750000125,0.5636856368563686,0.12
Yoel Romero,13,5,0,3.44,49.0,3.05,60%,1.57,30%,78%,0.0,9,4,7,0,0.3,0.78,0.6923076390532585,0.7777776913580343,0.0,1.0920634920634922,0.06599999999999999
Alex Pereira,13,3,0,5.16,62.0,3.5,53%,0.11,50%,79%,0.2,10,2,8,0,0.5,0.79,0.8333332638888947,0.7999999200000081,0.0,1.4333333333333333,0.10499999999999998
Ailin Perez,13,2,0,2.88,56.0,1.58,56%,4.9,49%,72%,0.2,6,1,0,1,0.49,0.72,0.857142734693895,0.0,0.16666663888889352,1.714285714285714,0.13720000000000002
Jordan Leavitt,13,3,0,2.21,57.0,1.59,58%,3.15,34%,30%,1.1,6,3,2,2,0.34,0.3,0.6666665925926009,0.33333327777778704,0.33333327777778704,1.3076923076923075,0.238
Jarred Brooks,13,2,0,2.12,46.0,1.66,62%,4.54,57%,69%,0.6,2,2,0,0,0.57,0.69,0.49999987500003124,0.0,0.0,1.2045454545454546,0.17670000000000002
Neil Wain,13,4,0,2.64,50.0,8.57,43%,0.0,0%,50%,0.0,0,1,0,0,0.0,0.5,0.0,0.0,0.0,0.3044982698961938,0.0
Reginaldo Vieira,13,5,0,3.76,40.0,2.89,59%,1.97,27%,25%,0.8,1,2,0,0,0.27,0.25,0.33333322222225925,0.0,0.0,1.25752508361204,0.2025
Alessio Di Chirico,13,7,0,3.32,39.0,3.44,61%,1.46,39%,83%,0.0,4,7,2,0,0.39,0.83,0.3636363305785154,0.49999987500003124,0.0,0.9378531073446327,0.06630000000000001
Dusko Todorovic,13,6,0,4.73,57.0,4.4,48%,1.77,21%,42%,0.3,4,6,3,1,0.21,0.42,0.39999996000000404,0.7499998125000469,0.24999993750001562,1.051111111111111,0.1218
Pingyuan Liu,13,7,0,2.36,33.0,2.99,54%,0.25,20%,56%,1.0,2,2,0,0,0.2,0.56,0.49999987500003124,0.0,0.0,0.7637540453074433,0.088
Maki Pitolo,13,9,0,4.1,44.0,3.93,55%,2.24,52%,50%,0.8,1,5,1,0,0.52,0.5,0.16666663888889352,0.9999990000010001,0.0,1.0173697270471462,0.26
Viviane Pereira,13,2,0,2.7,30.0,4.48,58%,0.25,100%,28%,0.2,2,2,0,0,1.0,0.28,0.49999987500003124,0.0,0.0,0.5895196506550219,0.72
KJ Noons,13,9,0,3.68,35.0,3.78,65%,0.08,20%,68%,0.0,2,3,1,0,0.2,0.68,0.399999920000016,0.499999750000125,0.0,0.9484536082474228,0.06399999999999999
Renzo Gracie,13,7,1,1.71,41.0,1.67,55%,1.13,20%,40%,0.8,0,1,0,0,0.2,0.4,0.0,0.0,0.0,0.9661016949152542,0.12
Justin James,13,7,0,1.34,36.0,2.68,50%,0.0,0%,50%,1.6,0,1,0,0,0.0,0.5,0.0,0.0,0.0,0.48201438848920863,0.0
Leandro Issa,13,6,0,2.08,37.0,3.17,58%,2.38,22%,50%,1.2,2,3,0,2,0.22,0.5,0.399999920000016,0.0,0.99999950000025,0.636085626911315,0.11
Garreth McLellan,13,6,0,3.56,54.0,2.94,45%,1.15,22%,34%,0.9,1,4,1,0,0.22,0.34,0.199999960000008,0.9999990000010001,0.0,1.1710526315789473,0.1452
Sara McMann,13,6,0,2.26,46.0,1.92,47%,4.38,65%,50%,0.5,7,6,1,2,0.65,0.5,0.5384614970414233,0.1428571224489825,0.285714244897965,1.1188118811881187,0.325
Tateki Matsuda,13,8,0,3.2,34.0,3.43,69%,0.0,0%,16%,0.0,0,2,0,0,0.0,0.16,0.0,0.0,0.0,0.9065155807365439,0.0
Victor Martinez,13,6,0,7.94,51.0,7.66,53%,0.7,33%,80%,0.0,0,2,0,0,0.33,0.8,0.0,0.0,0.0,1.02319587628866,0.06599999999999999
Gray Maynard,13,7,1,1.92,32.0,2.64,66%,2.91,47%,81%,0.7,11,7,1,0,0.47,0.81,0.6111110771604957,0.09090908264462885,0.0,0.7007299270072992,0.08929999999999998
Luiz Dutra,13,6,1,3.92,50.0,4.8,41%,0.0,0%,100%,0.0,0,2,0,0,0.0,1.0,0.0,0.0,0.0,0.8,0.0
Josh Samman,13,4,0,2.08,52.0,2.47,34%,1.09,33%,33%,0.4,3,2,2,1,0.33,0.33,0.599999880000024,0.6666664444445185,0.33333322222225925,0.8093385214007781,0.2211
Andre Soukhamthath,13,8,0,2.77,44.0,4.31,49%,1.25,53%,58%,0.2,2,5,1,0,0.53,0.58,0.285714244897965,0.499999750000125,0.0,0.6281179138321996,0.22260000000000002
Mario Neto,13,5,0,1.89,50.0,1.89,70%,2.84,100%,0%,0.0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.949748743718593,1.0
Priscila Cachoeira,13,8,0,4.43,44.0,7.6,45%,0.25,40%,69%,0.0,5,8,4,0,0.4,0.69,0.3846153550295881,0.799999840000032,0.0,0.5753246753246753,0.12400000000000003
