fighter_name,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,ufc_wins,ufc_losses,ufc_kos,ufc_submissions,td_acc_float,td_def_float,win_rate,ko_rate,sub_rate,striking_eff,grappling
Jeff Curran,36,18,1,1.54,31.0,2.48,60%,0.35,12%,35%,1.2,0,3,0,0,0.12,0.35,0.0,0.0,0.0,0.5968992248062015,0.078
Kyoji Horiguchi,36,5,0,3.77,47.0,2.13,63%,1.61,40%,61%,0.1,9,1,2,1,0.4,0.61,0.8999999100000091,0.22222219753086697,0.11111109876543349,1.6905829596412556,0.15600000000000003
Bobby Hoffman,36,10,1,2.02,70.0,1.32,19%,1.17,50%,0%,1.2,0,2,0,0,0.5,0.0,0.0,0.0,0.0,1.4225352112676055,0.5
Jorge Masvidal,35,17,0,4.05,47.0,3.05,64%,1.38,59%,72%,0.3,12,10,5,1,0.59,0.72,0.5454545206611581,0.41666663194444736,0.08333332638888948,1.2857142857142856,0.1652
Akihiro Gono,35,21,8,2.18,48.0,2.67,63%,1.01,84%,46%,0.5,1,2,0,1,0.84,0.46,0.33333322222225925,0.0,0.9999990000010001,0.7870036101083033,0.4536
Denis Kang,35,16,2,2.27,35.0,1.65,67%,2.51,65%,38%,1.2,1,2,0,0,0.65,0.38,0.33333322222225925,0.0,0.0,1.2971428571428572,0.403
Urijah Faber,35,11,0,2.65,40.0,2.59,64%,1.54,30%,58%,0.8,11,7,1,6,0.3,0.58,0.6111110771604957,0.09090908264462885,0.5454544958677732,0.9851301115241635,0.126
Takanori Gomi,35,14,0,3.81,41.0,3.52,60%,1.23,65%,63%,0.8,4,9,2,0,0.65,0.63,0.3076922840236705,0.49999987500003124,0.0,1.0524861878453038,0.2405
Josh Barnett,35,8,0,3.2,50.0,2.11,57%,1.26,55%,55%,1.4,7,3,4,2,0.55,0.55,0.699999930000007,0.57142848979593,0.285714244897965,1.4479638009049776,0.2475
Ronys Torres,35,5,0,0.87,26.0,1.93,57%,4.0,47%,16%,0.5,0,2,0,0,0.47,0.16,0.0,0.0,0.0,0.4285714285714286,0.3948
Nate Marquardt,35,19,2,2.71,49.0,2.32,55%,1.87,51%,70%,0.8,13,12,6,3,0.51,0.7,0.5199999792000009,0.4615384260355057,0.23076921301775286,1.1198347107438016,0.15300000000000002
Mirko Filipovic,35,11,2,2.11,50.0,1.89,63%,0.19,40%,78%,0.3,5,6,3,1,0.4,0.78,0.4545454132231443,0.599999880000024,0.199999960000008,1.0603015075376885,0.088
John Gunderson,35,16,2,1.04,27.0,1.71,58%,1.67,33%,11%,2.0,1,2,0,0,0.33,0.11,0.33333322222225925,0.0,0.0,0.574585635359116,0.2937
Wanderlei Silva,35,13,1,2.79,40.0,2.19,60%,0.97,53%,62%,0.6,5,7,4,0,0.53,0.62,0.41666663194444736,0.799999840000032,0.0,1.2183406113537119,0.20140000000000002
Paul Buentello,35,17,0,3.29,45.0,3.83,52%,0.19,33%,39%,0.4,3,3,2,1,0.33,0.39,0.49999991666668053,0.6666664444445185,0.33333322222225925,0.8371501272264631,0.2013
John Alessio,35,17,0,2.1,39.0,2.91,54%,1.85,38%,70%,1.2,0,5,0,0,0.38,0.7,0.0,0.0,0.0,0.6976744186046512,0.11400000000000002
Iuri Alcantara,35,10,0,2.72,45.0,2.79,49%,1.44,62%,60%,0.8,10,7,3,2,0.62,0.6,0.588235259515573,0.299999970000003,0.19999998000000202,0.9411764705882353,0.248
Andrei Semenov,34,9,2,0.78,15.0,2.44,60%,1.74,80%,55%,0.4,1,1,1,0,0.8,0.55,0.499999750000125,0.9999990000010001,0.0,0.30708661417322836,0.36
Yushin Okami,34,12,0,2.06,38.0,2.25,60%,1.98,39%,84%,0.5,14,7,4,0,0.39,0.84,0.6666666349206364,0.2857142653061239,0.0,0.8765957446808511,0.06240000000000001
Anderson Silva,34,11,0,3.05,61.0,2.05,60%,0.5,77%,69%,0.8,17,7,11,3,0.77,0.69,0.7083333038194456,0.6470587854671302,0.17647057785467188,1.4186046511627908,0.23870000000000005
King Green,34,17,1,6.38,53.0,3.58,62%,1.31,42%,72%,0.3,15,12,4,2,0.42,0.72,0.5555555349794246,0.2666666488888901,0.13333332444444504,1.7336956521739129,0.11760000000000001
Andrei Arlovski,34,24,0,3.82,45.0,3.22,57%,0.37,35%,76%,0.2,23,18,9,2,0.35,0.76,0.560975596073766,0.39130433081285515,0.08695651795841226,1.150602409638554,0.08399999999999999
