Nome,Height,Altura_cm,Weight,Reach,Stance
Luiz Cane,"6' 2""",188.0,185 lbs.,77.0,Southpaw
Kalib Starnes,"6' 3""",190.5,185 lbs.,74.0,Orthodox
Francis Ngannou,"6' 4""",193.0,250 lbs.,83.0,Orthodox
TJ Brown,"5' 9""",175.3,145 lbs.,72.0,Switch
Ilir Latifi,"5' 10""",177.8,230 lbs.,73.0,Orthodox
Dan Lauzon,"5' 10""",177.8,155 lbs.,71.55387673956263,Orthodox
Donnie Liles,"5' 9""",175.3,170 lbs.,71.55387673956263,Orthodox
Jae Suk Lim,"5' 9""",175.3,170 lbs.,71.55387673956263,Orthodox
Dhiego Lima,"6' 2""",188.0,170 lbs.,75.0,Orthodox
Benoit Saint Denis,"5' 11""",180.3,155 lbs.,73.0,Southpaw
Alejandro Villalobos,"5' 7""",170.2,145 lbs.,71.55387673956263,
Gian Villante,"6' 3""",190.5,230 lbs.,76.0,Orthodox
Chris Cariaso,"5' 3""",160.0,125 lbs.,64.0,Southpaw
Sean O'Connell,"6' 1""",185.4,205 lbs.,74.0,Orthodox
Makwan Amirkhani,"5' 10""",177.8,145 lbs.,72.0,Southpaw
Jean Matsumoto,"5' 6""",167.6,135 lbs.,68.0,Orthodox
Ronaldo Rodriguez,"5' 6""",167.6,125 lbs.,65.0,Orthodox
Chuck O'Neil,"6' 2""",188.0,170 lbs.,71.55387673956263,
Seo Hee Ham,"5' 2""",157.5,115 lbs.,62.0,Southpaw
Louis Smolka,"5' 9""",175.3,135 lbs.,68.0,Orthodox
Peter Sobotta,"6' 0""",182.9,170 lbs.,75.0,Southpaw
Abubakar Nurmagomedov,"5' 11""",180.3,170 lbs.,72.0,Orthodox
Sean Santella,"5' 5""",165.1,125 lbs.,71.55387673956263,
Matt Veach,"5' 11""",180.3,155 lbs.,71.55387673956263,Orthodox
Danny Castillo,"5' 9""",175.3,155 lbs.,71.0,Orthodox
Luke Caudillo,"5' 7""",170.2,155 lbs.,71.55387673956263,Orthodox
Ednaldo Oliveira,"6' 5""",195.6,205 lbs.,71.55387673956263,Orthodox
Tom Watson,"6' 1""",185.4,185 lbs.,73.0,Orthodox
Joselyne Edwards,"5' 8""",172.7,135 lbs.,70.0,Orthodox
Marc Diakiese,"5' 10""",177.8,155 lbs.,73.0,Orthodox
Joao Elias,"5' 3""",160.0,125 lbs.,64.0,Southpaw
Jimmy Ambriz,"6' 2""",188.0,315 lbs.,71.55387673956263,Southpaw
Brendan Loughnane,"5' 10""",177.8,145 lbs.,70.0,Switch
Lerone Murphy,"5' 9""",175.3,145 lbs.,73.0,Orthodox
Daiki Hata,"5' 6""",167.6,139 lbs.,71.55387673956263,Orthodox
John Hathaway,"6' 1""",185.4,170 lbs.,75.0,Orthodox
Michihiro Omigawa,"5' 6""",167.6,145 lbs.,68.0,Orthodox
Cezary Oleksiejczuk,"6' 3""",190.5,185 lbs.,75.0,Southpaw
Rafaello Oliveira,"5' 8""",172.7,155 lbs.,71.0,Orthodox
Vadym Kutsyi,"6' 0""",182.9,170 lbs.,71.0,Orthodox
Keisuke Fujiwara,"5' 6""",167.6,139 lbs.,71.55387673956263,Switch
Karlos Vemola,"6' 0""",182.9,185 lbs.,75.0,Orthodox
Kuya Ito,"5' 5""",165.1,135 lbs.,66.0,Orthodox
James Irvin,"6' 2""",188.0,205 lbs.,75.0,Orthodox
Abdul-Kerim Edilov,"6' 2""",188.0,205 lbs.,71.55387673956263,Orthodox
Brett Rogers,"6' 5""",195.6,265 lbs.,81.0,Orthodox
Erik Perez,"5' 8""",172.7,135 lbs.,68.0,Orthodox
Cathal Pendred,"6' 1""",185.4,170 lbs.,75.0,Orthodox
Ben Reiter,"6' 3""",190.5,185 lbs.,71.55387673956263,
Mitch Whitesel,"5' 9""",175.3,185 lbs.,71.55387673956263,
Da'Mon Blackshear,"5' 10""",177.8,135 lbs.,72.0,Switch
Dan Bobish,"6' 2""",188.0,345 lbs.,71.55387673956263,Southpaw
Yana Santos,"5' 6""",167.6,135 lbs.,68.0,Orthodox
Zak Ottow,"5' 11""",180.3,170 lbs.,72.0,Orthodox
Josh Pulsifer,"5' 10""",177.8,145 lbs.,71.55387673956263,
Adam Lynn,"5' 10""",177.8,155 lbs.,71.55387673956263,Orthodox
Deividas Taurosevicius,"5' 9""",175.3,145 lbs.,68.0,Southpaw
Alonzo Menifield,"6' 0""",182.9,205 lbs.,76.0,Orthodox
Ilia Topuria,"5' 7""",170.2,155 lbs.,69.0,Orthodox
Manuel Torres,"5' 10""",177.8,155 lbs.,73.0,Switch
Anthony Rocco Martin,"6' 0""",182.9,170 lbs.,73.0,Orthodox
Juan Adrian Martinetti,"5' 8""",172.7,135 lbs.,71.0,
