Nome,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Sheymon Moraes,11,4,0,3.0,42.0,3.64,63%,0.0,0%,53%,0.0
Jeff Molina,11,2,0,7.25,48.0,5.04,55%,0.0,0%,66%,0.0
Joshua Weems,11,3,0,5.25,64.0,3.34,61%,4.77,40%,100%,0.0
Mounir Lazzez,11,3,0,7.49,55.0,5.42,53%,1.8,57%,71%,0.0
Leonardo Guimaraes,11,5,0,2.35,56.0,2.99,44%,0.0,0%,52%,1.0
Chad Griggs,11,3,0,2.67,50.0,2.22,46%,1.51,66%,41%,0.0
Garrett Gross,11,7,0,2.39,45.0,1.67,46%,0.0,0%,52%,0.0
Charles Radtke,11,5,0,2.8,54.0,2.63,54%,1.32,30%,100%,0.7
Bruna Brasil,11,6,1,2.57,56.0,3.59,52%,1.4,55%,61%,0.1
Martin Bravo,11,3,0,7.66,39.0,5.72,51%,2.6,35%,85%,0.0
Samuel Sanches,11,1,0,5.95,75.0,0.0,100%,0.0,0%,100%,0.0
Joby Sanchez,11,4,0,3.22,36.0,2.82,63%,0.95,71%,51%,0.4
Justin McCully,11,5,2,1.58,37.0,2.02,46%,1.28,44%,43%,0.0
Manuel Rodriguez,11,5,0,0.81,33.0,3.23,38%,9.09,75%,0%,0.0
Mike Rodriguez,11,7,0,4.35,53.0,4.24,41%,0.0,0%,37%,0.0
Clint Hester,11,6,0,3.36,42.0,3.44,56%,1.02,35%,60%,0.0
Jimy Hettes,11,3,0,3.47,57.0,3.5,57%,5.2,44%,61%,1.4
Cole Williams,11,3,0,0.31,27.0,5.34,23%,0.0,0%,25%,0.0
Joe Benoit,11,4,0,0.0,0.0,0.0,100%,0.0,0%,0%,0.0
Andy Uhrich,11,6,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Derek Downey,11,4,0,0.32,100.0,3.36,12%,2.4,16%,0%,0.0
Sage Northcutt,11,2,0,3.58,52.0,1.96,58%,1.81,34%,41%,0.6
Jason Novelli,11,3,1,1.73,24.0,3.55,66%,0.7,33%,100%,0.0
Phillipe Nover,11,8,1,1.79,35.0,2.48,56%,0.99,28%,44%,0.7
Mike Ricci,11,5,0,1.8,32.0,1.64,65%,0.67,100%,54%,0.0
Omar Morales,11,4,0,3.42,40.0,3.18,58%,0.46,100%,63%,0.0
Kazuma Maruyama,11,7,0,3.83,41.0,2.23,53%,4.79,33%,100%,0.0
Shane Roller,11,7,0,2.04,34.0,2.65,60%,2.46,33%,42%,1.9
Ricardo Romero,11,3,0,2.17,55.0,4.77,46%,1.63,10%,100%,3.3
Michinori Tanaka,11,3,0,1.97,37.0,1.99,50%,2.4,38%,43%,0.2
Aaron Tau,11,1,0,4.85,44.0,5.0,60%,0.89,18%,64%,0.0
Juan Espino,11,2,0,2.38,70.0,1.95,40%,8.93,78%,50%,2.4
Robert Valentin,11,6,0,1.13,56.0,2.83,32%,0.0,0%,55%,1.3
Jessica-Rose Clark,11,9,0,3.73,51.0,3.51,58%,1.66,42%,62%,0.3
Mike Breeden,11,6,0,5.75,45.0,7.28,42%,0.98,30%,67%,0.0
Cody Brundage,11,9,1,2.26,48.0,3.02,50%,1.88,41%,68%,0.5
Antwain Britt,11,6,0,1.46,39.0,2.81,44%,1.56,40%,50%,0.0
Chase Waldon,11,2,0,1.03,28.0,6.72,38%,7.76,33%,0%,0.0
Jovan Leka,11,2,0,1.6,75.0,0.6,43%,1.0,100%,55%,1.0
Quillan Salkilld,11,1,0,5.16,57.0,3.24,44%,7.95,36%,90%,0.8
Josh Sampo,11,5,0,1.99,36.0,2.96,55%,1.06,33%,40%,2.1
Dwight Grant,11,6,0,3.29,36.0,2.66,60%,0.61,100%,66%,0.0
Nina Nunes,11,7,0,4.39,45.0,3.47,55%,0.24,33%,73%,0.5
Marcos Brigagao,11,1,0,3.07,43.0,3.27,25%,0.0,0%,36%,0.0
Rickson Gracie,11,0,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Dmitry Sosnovskiy,11,0,0,2.95,70.0,2.53,35%,3.16,66%,100%,3.2
William Knight,11,5,0,2.62,56.0,3.3,35%,1.78,40%,48%,0.4
Ryan Couture,11,5,0,3.54,45.0,2.87,54%,1.55,29%,46%,1.3
Nick Barnes,11,2,0,2.86,29.0,8.93,51%,5.36,100%,100%,5.4
Djorden Santos,11,2,0,7.0,44.0,5.98,48%,0.67,33%,86%,0.0
Bob Sapp,11,20,0,3.19,55.0,1.88,49%,0.58,100%,72%,0.0
Joe Proctor,11,5,0,3.39,36.0,3.93,59%,0.0,0%,70%,1.8
Stephen Bass,11,2,0,4.87,52.0,5.87,55%,0.0,0%,0%,0.0
Peter Barrett,11,5,0,4.18,61.0,4.32,42%,1.39,22%,66%,0.0
Gokhan Saricam,11,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Dustin Kimura,11,3,0,1.33,21.0,3.82,51%,0.93,37%,50%,2.2
Kyle Kingsbury,11,6,0,2.97,40.0,3.81,51%,2.64,41%,52%,0.0
Kyle Noblitt,11,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Mitch Clarke,11,5,0,2.35,34.0,3.27,47%,0.64,15%,50%,0.4
Willian Colorado,11,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Randa Markos,11,12,1,2.97,43.0,3.1,58%,1.12,28%,52%,0.2
Danilo Marques,11,4,0,1.44,79.0,2.52,52%,3.93,28%,0%,0.8
Yuji Ephoevi-Ga,11,1,0,2.67,71.0,2.6,44%,0.0,0%,60%,0.0
Stephen Palling,11,7,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Won Sik Park,11,7,1,2.6,43.0,2.2,47%,0.0,0%,0%,0.0
Niklas Backstrom,11,3,0,1.12,41.0,3.65,40%,2.92,80%,72%,2.2
Mehdi Baghdad,11,5,0,3.13,30.0,4.56,46%,0.0,0%,33%,0.0
Askar Askar,11,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Thomas Paull,11,4,0,7.33,33.0,8.67,64%,0.0,0%,0%,0.0
KyeungPyo Kim,11,4,0,6.77,46.0,6.32,63%,3.87,40%,100%,0.0
Jason Gonzalez,11,5,0,3.06,39.0,3.13,58%,0.0,0%,30%,1.0
Silvana Gomez Juarez,11,5,0,4.26,32.0,4.04,61%,0.0,0%,30%,0.0
Diyar Nurgozhay,11,2,0,4.52,59.0,2.81,61%,1.37,75%,80%,0.0
Amir Rahnavardi,11,10,0,0.67,25.0,0.0,100%,0.0,0%,50%,0.0
Herbert Burns,11,6,0,1.86,36.0,5.17,41%,2.94,34%,66%,1.8
Frank Lester,11,6,0,2.18,36.0,3.82,53%,0.0,0%,0%,0.0
JeongYeong Lee,11,3,0,3.38,49.0,3.82,50%,0.63,66%,72%,0.3
ChangHo Lee,11,2,0,3.88,66.0,2.13,37%,3.2,34%,40%,0.3
John Doyle,11,22,0,3.5,44.0,10.51,27%,0.0,0%,0%,0.0
Adrian Diaz,11,4,1,0.48,42.0,3.84,51%,2.4,50%,0%,0.0
Cameron Dollar,11,5,0,5.04,38.0,2.94,61%,0.0,0%,0%,0.0
Ken Cross,11,3,0,2.2,57.0,1.4,55%,1.0,12%,66%,0.0
Michael Aswell Jr.,11,3,0,9.56,45.0,7.79,54%,0.0,0%,57%,0.0
Payton Talbott,11,1,0,6.62,56.0,3.41,46%,0.78,44%,77%,0.2
Victor Reyna,11,5,0,5.8,63.0,4.75,42%,0.0,0%,100%,0.0
Claudio Ribeiro,11,5,0,3.59,51.0,4.9,30%,0.56,50%,66%,0.0
Andre Lima,11,0,0,4.06,60.0,2.49,57%,1.36,75%,75%,1.1
Tatsuya Saika,11,5,0,6.67,44.0,9.91,43%,0.0,0%,66%,0.0
Alex Gilpin,11,1,0,6.8,54.0,12.29,42%,2.17,25%,0%,2.2
Wataru Sakata,11,14,0,1.11,61.0,2.08,31%,0.0,0%,0%,0.0
Mats Nilsson,11,4,1,2.99,39.0,5.62,63%,3.87,83%,44%,2.3
Lewis Gonzalez,11,3,0,1.4,37.0,1.87,41%,2.0,33%,62%,0.0
Dae Won Kim,11,7,0,1.75,32.0,2.51,36%,3.43,42%,0%,0.0
Jordan Parsons,11,2,0,3.29,40.0,2.37,60%,1.54,21%,50%,1.0
Preston Parsons,11,6,0,3.54,51.0,3.25,54%,3.46,36%,71%,2.3
Brady Huang,11,2,0,4.62,37.0,10.77,30%,0.0,0%,0%,0.0
Solomon Hutcherson,11,7,0,2.59,39.0,2.59,64%,3.53,100%,0%,0.0
Landon Showalter,11,19,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Arman Ashimov,11,3,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Kiril Sidelnikov,11,4,0,2.87,28.0,4.48,61%,0.0,0%,0%,0.0
Jeremy Kennedy,11,1,0,2.22,46.0,2.58,47%,5.73,52%,66%,0.0
Ricky Camp,11,4,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Rodolfo Vieira,11,4,0,3.55,53.0,4.38,49%,2.7,21%,75%,0.9
SeungWoo Choi,11,8,0,3.56,38.0,3.16,47%,0.83,54%,70%,0.0
Dan Evensen,11,4,0,0.27,10.0,3.86,38%,0.0,0%,0%,4.0
Ron Keslar,11,9,0,0.0,0.0,2.05,60%,0.0,0%,100%,7.7
Maurice Mitchell,11,2,0,3.8,55.0,3.54,60%,0.0,0%,100%,0.0
Josh Culibao,11,4,1,3.41,44.0,3.04,59%,0.0,0%,65%,0.3
AJ Cunningham,11,5,0,4.22,29.0,6.31,48%,0.0,0%,46%,0.5
Tuco Tokkos,11,5,0,2.12,40.0,4.27,46%,4.21,47%,33%,0.5
Victor Dias,11,3,0,2.87,44.0,5.8,55%,5.0,41%,0%,0.0
Tony DeSouza,11,4,0,1.12,52.0,1.57,41%,2.25,42%,40%,1.5
Rolando Delgado,11,6,1,1.56,40.0,1.83,62%,1.17,22%,0%,3.5
Yazmin Jauregui,11,2,0,6.64,39.0,5.25,54%,0.0,0%,100%,0.0
Sam Hughes,11,6,0,4.34,46.0,4.44,58%,1.23,35%,60%,0.2
Luana Carolina,11,5,0,4.65,51.0,3.46,51%,0.3,37%,68%,0.6
Fabio Nascimento,11,6,0,2.94,38.0,4.63,55%,0.0,0%,55%,0.8
Gabriella Fernandes,11,3,0,3.56,48.0,5.19,52%,0.44,18%,68%,0.2
Kaue Fernandes,11,2,0,4.28,55.0,1.42,62%,1.18,100%,76%,0.0
Kevin Szaflarski,11,2,0,1.13,28.0,8.07,30%,0.0,0%,0%,0.0
James Mulheron,11,2,0,2.4,31.0,3.47,42%,0.0,0%,25%,0.0
Alexander Morgan,11,5,0,3.71,44.0,2.78,47%,0.0,0%,0%,0.0
Maryna Moroz,11,6,0,4.42,33.0,4.89,51%,0.7,24%,42%,0.6
Olivier Aubin-Mercier,11,5,0,2.48,51.0,2.97,55%,2.36,33%,70%,0.5
Pat Audinwood,11,2,1,1.17,12.0,4.31,41%,0.8,50%,0%,0.0
Sabah Homasi,11,8,0,4.98,48.0,6.91,47%,2.8,50%,66%,0.0
Trey Houston,11,4,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Chris Dempsey,11,5,0,2.25,32.0,2.82,65%,2.64,23%,16%,0.0
Nick Denis,11,3,0,6.54,53.0,5.42,36%,2.8,100%,80%,0.0
Manny Vazquez,11,2,0,1.47,41.0,2.67,48%,1.0,33%,0%,1.0
Rodrigo Nascimento,11,3,0,3.71,47.0,4.34,44%,1.02,37%,60%,0.5
Nate Loughran,11,2,0,1.81,40.0,4.11,59%,0.0,0%,0%,2.1
Jakob Lovstad,11,4,0,0.0,0.0,9.43,35%,0.0,0%,0%,0.0
Michael Lombardo,11,2,0,1.47,62.0,2.63,31%,2.5,21%,60%,0.0
Kyle Stewart,11,3,0,1.41,35.0,2.42,43%,1.32,20%,60%,0.0
Antonio Carlos Junior,11,5,0,1.95,42.0,2.14,52%,3.42,39%,53%,0.8
Nazim Sadykhov,11,2,1,4.79,49.0,5.49,49%,1.1,45%,72%,0.2
Aurelijus Kerpe,11,22,0,1.26,16.0,8.21,31%,0.0,0%,0%,0.0
Keisuke Sasu,11,3,1,2.76,49.0,2.42,48%,3.76,40%,61%,1.9
Yan Pellerin,11,13,0,0.59,25.0,0.89,66%,4.43,100%,0%,0.0
Ruan Potts,11,6,0,0.85,37.0,5.92,22%,0.75,16%,33%,2.3
Francisco Rivera,11,7,0,4.07,41.0,3.16,68%,1.01,63%,68%,0.6
Nair Melikyan,11,0,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
John Reedy,11,6,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Codale Ford,11,9,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Phil Rowe,11,7,0,3.51,49.0,4.15,50%,0.46,36%,53%,0.2
Anthony Figueroa,11,8,1,2.37,48.0,3.77,49%,0.0,0%,58%,0.0
Carlos Felipe,11,2,0,4.88,45.0,5.6,50%,0.0,0%,72%,0.0
Toshiomi Kazama,11,5,0,1.49,53.0,4.56,38%,1.94,16%,66%,1.0
Eric Irvin,11,4,0,3.27,42.0,4.47,36%,4.0,30%,33%,0.0
Wade Shipp,11,5,0,4.29,86.0,2.14,0%,0.0,0%,75%,0.0
Josh Shockley,11,4,0,1.4,33.0,1.75,60%,0.0,0%,61%,0.8
Carlo Pedersoli Jr.,11,3,0,4.17,37.0,4.12,61%,2.91,44%,0%,0.0
Alice Ardelean,11,7,0,7.35,45.0,5.2,62%,1.0,44%,85%,0.0
Mark Dickman,11,3,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Vanessa Melo,11,8,0,3.48,30.0,6.13,59%,0.0,0%,71%,0.0
MarQuel Mederos,11,1,0,4.84,56.0,2.99,58%,0.0,0%,83%,0.0
Todd Medina,11,9,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Vanessa Demopoulos,11,8,0,3.37,39.0,5.39,41%,0.32,9%,26%,0.4
Mike Stumpf,11,4,0,3.34,43.0,8.85,47%,1.59,25%,33%,0.8
Masio Fullen,11,7,0,2.46,32.0,3.5,54%,0.47,33%,69%,0.0
Zelg Galesic,11,9,0,4.86,62.0,0.61,66%,1.3,100%,20%,1.3
Curtis Stout,11,12,1,0.69,67.0,3.2,29%,0.0,0%,20%,0.0
Julija Stoliarenko,11,10,2,2.74,38.0,4.45,46%,0.78,20%,54%,1.4
Ken Stone,11,4,0,3.85,49.0,2.9,48%,1.24,33%,60%,0.6
Dalcha Lungiambula,11,6,0,3.07,45.0,3.93,52%,2.14,45%,77%,0.0
Jorge Lopez,11,5,0,2.47,59.0,2.57,50%,3.5,41%,81%,0.0
Tommy Gantt,11,0,0,1.08,100.0,0.36,66%,10.78,40%,0%,5.4
Sherman Pendergarst,11,18,0,1.23,36.0,3.08,16%,4.62,100%,0%,0.0
Jianping Yang,11,4,1,1.4,26.0,2.07,65%,1.0,25%,33%,0.0
Megan Anderson,11,5,0,1.76,46.0,3.35,37%,0.52,25%,53%,0.5
Nick Penner,11,3,0,1.25,30.0,4.6,38%,0.0,0%,40%,0.0
Naoki Inoue,11,1,0,3.67,35.0,3.37,60%,0.0,0%,60%,2.5
Fabiano Scherner,11,10,0,1.31,31.0,3.2,38%,1.09,33%,40%,0.0
Mike Joy,11,8,0,0.57,33.0,1.71,47%,0.78,33%,0%,2.3
Mark De La Rosa,11,5,0,3.13,35.0,5.0,48%,0.54,13%,40%,0.2
Artem Frolov,11,0,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Angela Magana,11,9,0,1.53,28.0,4.92,42%,0.4,25%,28%,0.4
Baisangur Susurkaev,11,0,0,4.56,59.0,3.78,53%,2.76,28%,100%,0.7
Danny Chavez,11,5,1,2.86,38.0,3.83,50%,1.95,60%,87%,0.0
Mark Cherico,11,1,0,3.69,34.0,7.37,56%,5.03,50%,0%,0.0
Macy Chiasson,11,6,0,3.21,46.0,2.76,44%,1.87,35%,62%,0.4
Rafael Cerqueira,11,4,0,1.56,43.0,5.05,36%,0.0,0%,36%,0.0
Andre Mussi,11,5,0,0.0,0.0,10.59,35%,0.0,0%,0%,0.0
Samandar Murodov,11,0,0,1.5,75.0,0.5,44%,6.01,66%,0%,1.5
Tony Sylvester,11,3,0,0.0,0.0,10.12,12%,0.0,0%,0%,0.0
Bubba Jenkins,11,4,0,2.41,37.0,1.58,67%,7.23,68%,100%,0.0
Ramiro Jimenez,11,0,0,14.22,65.0,2.43,82%,5.2,100%,100%,0.0
Colleen Schneider,11,7,0,2.17,48.0,2.5,50%,2.5,50%,60%,0.0
Nate Schroeder,11,10,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Lacey Schuckman,11,10,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Don'Tale Mayes,11,9,0,3.22,43.0,3.61,46%,0.59,38%,46%,0.0
Reuben Duran,11,7,1,3.19,49.0,2.61,50%,0.98,23%,25%,0.7
Rilley Dutro,11,4,0,4.74,54.0,5.95,33%,0.0,0%,83%,0.0
Oscar Cota,11,3,0,0.33,41.0,2.47,41%,0.0,0%,60%,1.0
Tito Jones,11,8,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Trenell Young,11,9,0,1.43,22.0,5.13,50%,1.13,20%,0%,1.1
Hirotaka Yokoi,11,5,0,1.52,33.0,3.42,38%,1.87,41%,66%,0.4
Brad Scott,11,6,0,3.52,41.0,4.31,57%,0.32,15%,63%,0.7
Kevin Jordan,11,9,0,2.0,40.0,1.91,55%,0.0,0%,77%,0.6
Tony Johnson,11,3,0,2.0,53.0,4.73,31%,2.0,22%,0%,0.0
Shane del Rosario,11,2,0,3.93,60.0,2.97,54%,1.2,40%,16%,2.4
Oskar Piechota,11,3,1,3.3,52.0,3.93,51%,0.61,40%,38%,1.5
Nurullo Aliev,11,0,0,2.72,44.0,1.63,58%,2.12,43%,80%,0.3
Jose Daniel Medina,11,7,0,2.13,36.0,5.34,46%,0.39,33%,27%,0.0
Sarah D'alelio,11,7,0,2.4,33.0,0.0,100%,0.0,0%,100%,0.0
Marcos da Matta,11,3,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Jay Perrin,10,7,0,3.71,46.0,3.9,44%,2.83,52%,58%,0.0
Raphael Pessoa,10,2,0,2.16,26.0,3.43,42%,0.0,0%,100%,0.0
Viktor Pesta,10,4,0,1.58,36.0,2.54,56%,3.29,28%,100%,0.0
Thomas Petersen,10,4,0,3.38,58.0,2.95,55%,3.71,50%,87%,0.5
Magno Almeida,10,3,0,1.67,36.0,2.6,41%,0.0,0%,40%,5.0
Aaron Jeffery,10,3,0,3.1,45.0,4.46,34%,0.0,0%,50%,0.0
Louis Lee Scott,10,0,0,5.35,58.0,0.81,71%,2.43,66%,100%,0.0
Demba Seck,10,3,0,1.5,40.0,5.25,22%,0.0,0%,60%,0.0
Mariya Agapova,10,5,0,4.43,54.0,3.62,52%,0.55,66%,45%,0.8
Joao Zaiden,10,3,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Zach Zane,10,7,0,0.87,56.0,6.67,20%,0.0,0%,26%,0.0
Amir Aliakbari,10,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Leon Aliu,10,2,0,6.32,50.0,10.11,38%,0.0,0%,0%,0.0
Pete Sell,10,7,0,2.6,42.0,3.65,51%,0.91,21%,47%,0.9
Gauge Young,10,3,0,5.71,51.0,5.82,48%,1.0,30%,71%,0.0
Raimond Magomedaliev,10,2,0,4.07,41.0,4.75,41%,0.0,0%,0%,0.0
Ryan MacDonald,10,2,0,2.28,29.0,6.49,45%,0.0,0%,0%,0.0
Justin Frazier,10,3,0,1.11,66.0,6.11,4%,0.0,0%,0%,0.0
Daisuke Sugie,10,8,1,0.0,0.0,0.22,80%,3.27,50%,0%,3.3
Sulangrangbo,10,4,0,3.96,48.0,3.2,62%,0.0,0%,72%,0.0
Gabriel Checco,10,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Yosdenis Cedeno,10,6,1,1.64,29.0,1.6,67%,0.0,0%,31%,0.3
Murtazali Magomedov,10,0,0,5.57,40.0,1.86,84%,0.0,0%,0%,0.0
Lolohea Mahe,10,4,1,1.71,29.0,6.92,40%,2.44,40%,0%,0.0
Maheshate,10,5,0,3.96,31.0,5.96,51%,0.0,0%,47%,0.0
Caio Magalhaes,10,3,0,2.27,40.0,2.78,56%,1.05,15%,58%,1.6
AJ Fletcher,10,3,0,3.36,49.0,4.61,46%,1.54,35%,33%,0.9
Claudionor Fontinelle,10,15,1,2.62,42.0,10.25,28%,0.0,0%,0%,0.0
Cain Carrizosa,10,3,0,2.72,42.0,5.8,51%,0.0,0%,14%,0.0
Rinya Nakamura,10,1,0,3.27,52.0,1.72,63%,2.58,81%,100%,1.4
David Velasquez,10,10,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Dan Charles,10,6,1,2.82,45.0,3.51,44%,0.0,0%,31%,0.0
Ernest Chavez,10,2,0,2.79,40.0,3.89,59%,0.89,33%,50%,0.0
Louie Sutherland,10,4,0,2.14,60.0,3.57,0%,0.0,0%,0%,0.0
Rodolfo Rubio Perez,10,16,1,1.13,36.0,1.0,62%,2.0,33%,33%,0.0
Montserrat Conejo Ruiz,10,5,0,2.21,29.0,6.19,44%,1.75,50%,44%,0.6
Zach Reese,10,3,0,4.48,54.0,3.92,43%,2.8,61%,52%,1.3
Nick Catone,10,4,0,2.11,44.0,2.32,63%,3.71,44%,83%,0.5
Travis Lutter,10,6,0,0.41,32.0,2.42,42%,1.95,24%,30%,0.7
Adam Fugitt,10,6,0,4.88,46.0,5.33,51%,1.63,22%,50%,0.0
Jacqueline Cavalcanti,10,1,0,5.65,46.0,3.17,68%,0.0,0%,88%,0.0
Federico Lopez,10,6,0,1.78,23.0,5.35,30%,0.0,0%,0%,0.0
Matthew Lopez,10,4,0,3.13,50.0,3.73,55%,3.32,60%,71%,1.3
Brandon Cash,10,4,0,5.42,72.0,0.68,33%,10.17,66%,0%,0.0
Kevin Syler,10,1,0,5.6,69.0,4.03,48%,1.0,40%,77%,2.0
Leo Sylvest,10,16,0,0.0,0.0,6.58,27%,0.0,0%,0%,0.0
Jack Cartwright,10,1,0,0.8,38.0,3.33,29%,6.0,66%,0%,2.0
Bruno Carvalho,10,5,0,0.6,45.0,0.93,53%,0.0,0%,66%,4.0
Cortney Casey,10,10,0,4.29,39.0,4.0,55%,0.39,31%,39%,0.5
Benito Lopez,10,2,0,4.39,45.0,5.18,56%,0.0,0%,73%,0.3
Caolan Loughran,10,2,0,4.73,42.0,5.2,52%,3.0,34%,87%,0.0
Loma Lookboonmee,10,4,0,3.67,55.0,2.52,53%,1.81,50%,68%,0.1
Ange Loosa,10,5,0,5.46,46.0,6.59,52%,2.53,39%,83%,0.2
Yuri Villefort,10,5,0,3.18,43.0,5.42,55%,2.0,35%,40%,0.3
Don Carlo-Clauss,10,7,0,1.44,30.0,7.68,43%,0.0,0%,66%,0.0
Tiki Ghosn,10,7,1,2.78,46.0,2.94,58%,0.41,50%,61%,0.0
Fernie Garcia,10,5,0,2.04,34.0,3.79,48%,0.28,50%,50%,0.6
Guido Cannetti,10,8,0,3.44,55.0,2.84,51%,2.27,55%,64%,0.4
Enrique Marin,10,4,0,1.43,33.0,3.0,50%,2.5,38%,60%,1.0
Jair Farias,10,1,0,3.8,39.0,5.33,51%,0.0,0%,41%,0.0
Feng Xiaocan,10,4,0,4.18,49.0,1.49,68%,0.7,100%,63%,0.0
Josh Ferguson,10,5,0,2.13,43.0,4.18,32%,0.59,11%,54%,0.0
Sebastian Szalay,10,2,0,4.94,41.0,2.2,65%,0.51,20%,84%,0.0
Brad Morris,10,6,0,0.5,62.0,6.95,27%,0.0,0%,0%,0.0
Sean Gauci,10,1,0,5.07,59.0,5.8,68%,4.0,44%,100%,0.0
Ateba Gautier,10,1,0,4.44,48.0,2.93,52%,0.49,100%,92%,0.0
Journey Newson,10,5,0,2.64,32.0,2.57,64%,0.56,16%,43%,0.3
Steven Nguyen,10,2,0,7.47,42.0,7.1,60%,0.24,100%,88%,0.0
Bo Cantrell,10,10,0,3.16,16.0,12.63,0%,0.0,0%,0%,0.0
Mychal Clark,10,14,0,5.8,56.0,2.9,59%,0.0,0%,0%,0.0
Dominic Clark,10,7,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Andy Enz,10,4,0,3.51,23.0,5.32,57%,0.0,0%,58%,0.0
Eliot Marshall,10,4,0,1.93,27.0,2.39,67%,0.47,33%,79%,0.9
Eli Tamez,10,0,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Mike Rhodes,10,5,0,3.2,39.0,4.13,64%,0.96,33%,75%,0.5
Will Ribeiro,10,2,0,1.83,28.0,1.64,74%,1.15,100%,50%,2.9
Allan Goes,10,5,2,0.64,52.0,1.35,41%,1.75,40%,0%,2.6
Sergio Gomez,10,3,0,1.5,42.0,1.16,56%,2.57,66%,31%,0.0
Frank Gomez,10,6,0,1.52,48.0,0.79,66%,1.14,60%,70%,0.8
Damian Stasiak,10,6,0,1.86,36.0,3.1,52%,2.64,35%,43%,0.6
Mitch Raposo,10,3,0,1.73,36.0,2.65,61%,2.54,37%,61%,0.0
Darrion Caldwell,10,1,0,0.85,34.0,0.57,60%,3.41,66%,100%,0.8
Matheus Camilo,10,3,0,2.19,43.0,3.25,64%,4.43,53%,0%,0.6
Tre'ston Vines,10,4,0,0.0,0.0,3.56,50%,0.0,0%,0%,0.0
Tom Nolan,10,1,0,5.87,45.0,4.73,48%,0.74,22%,71%,1.9
Davi Ramos,10,4,0,2.64,37.0,3.44,56%,1.95,40%,83%,0.6
Jason Butcher,10,2,0,1.82,40.0,2.73,25%,13.64,50%,0%,0.0
Charles Byrd,10,7,0,3.43,55.0,2.63,55%,2.5,50%,40%,1.5
Justin Levens,10,7,0,1.24,47.0,3.15,37%,1.69,50%,33%,5.1
Andreas Stahl,10,4,0,2.83,37.0,4.74,57%,1.55,66%,80%,0.0
Josiane Nunes,10,4,0,5.65,43.0,5.76,51%,0.0,0%,58%,0.0
Hector Ramirez,10,6,1,2.27,41.0,4.6,56%,2.3,55%,66%,0.5
Kimo Leopoldo,10,7,1,0.76,83.0,2.12,30%,4.55,100%,0%,2.3
Julia Budd,10,2,0,2.42,74.0,1.18,47%,3.6,57%,83%,0.0
Hannah Cifers,10,7,0,4.99,44.0,5.39,52%,0.26,100%,64%,0.3
Cameron Else,10,6,0,1.99,40.0,8.09,51%,0.0,0%,0%,0.0
Issei Tamura,10,8,0,1.89,53.0,4.58,44%,0.92,25%,33%,0.0
Genaro Valdez,10,3,0,4.08,30.0,7.16,48%,1.54,44%,36%,0.4
Patrick Walsh,10,3,0,2.03,19.0,2.83,64%,3.0,54%,100%,1.5
Mayra Bueno Silva,10,6,1,3.71,56.0,4.9,51%,0.51,23%,63%,1.3
Roman Salazar,10,6,0,1.95,39.0,2.89,57%,1.77,18%,50%,0.0
Bobby Southworth,10,6,0,0.99,39.0,1.38,65%,3.98,78%,64%,1.3
Bruno Souza,10,3,0,3.73,39.0,5.3,45%,0.5,16%,60%,0.0
Casey O'Neill,10,2,0,7.89,52.0,5.65,57%,1.45,34%,70%,0.7
Julien Leblanc,10,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Jean-Paul Lebosnoyani,10,2,0,4.77,61.0,3.72,53%,2.79,30%,0%,1.9
Tom Lawlor,10,6,0,2.5,42.0,2.41,60%,2.46,32%,57%,1.4
Chris Brown,10,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Ramon Taveras,10,4,0,4.07,43.0,6.45,54%,0.0,0%,72%,0.0
