Nome,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Iuri Alcantara,35,10,0,2.72,45.0,2.79,49%,1.44,62%,60%,0.8
Andrei Semenov,34,9,2,0.78,15.0,2.44,60%,1.74,80%,55%,0.4
Yushin Okami,34,12,0,2.06,38.0,2.25,60%,1.98,39%,84%,0.5
Anderson Silva,34,11,0,3.05,61.0,2.05,60%,0.5,77%,69%,0.8
King Green,34,17,1,6.38,53.0,3.58,62%,1.31,42%,72%,0.3
Andrei Arlovski,34,24,0,3.82,45.0,3.22,57%,0.37,35%,76%,0.2
Antonio Rodrigo Nogueira,34,10,1,1.95,42.0,2.4,55%,1.3,29%,36%,2.4
Hector Lombard,34,10,1,3.02,46.0,3.35,53%,1.69,48%,77%,0.5
Keita Nakamura,34,10,2,2.23,36.0,3.2,58%,1.65,48%,63%,0.3
Hideo Tokoro,34,29,2,1.78,37.0,2.01,65%,0.87,34%,44%,2.3
Pat Healy,34,23,0,2.57,36.0,2.57,50%,3.08,37%,55%,1.1
Trevor Prangley,34,11,2,2.59,60.0,2.02,48%,3.38,55%,74%,1.0
Will Chope,34,13,0,4.43,27.0,9.93,46%,0.0,0%,0%,0.0
Ding Meng,34,9,0,3.4,50.0,3.87,48%,1.0,50%,0%,0.0
Naoyuki Kotani,34,14,7,1.02,31.0,2.89,50%,0.83,16%,46%,0.8
Renan Barao,34,9,0,3.78,36.0,3.9,57%,1.49,41%,91%,0.5
Ron Faircloth,33,20,0,0.39,40.0,8.9,42%,0.0,0%,0%,0.0
Gleison Tibau,33,14,0,1.95,31.0,2.51,63%,4.08,53%,92%,0.8
Stefan Struve,33,13,0,3.12,47.0,4.04,46%,0.56,46%,55%,1.7
Julio Cesar Neves Jr.,33,1,0,1.98,35.0,4.81,51%,1.06,25%,76%,0.0
Chad Reiner,33,18,0,0.53,20.0,1.97,46%,0.99,33%,25%,2.0
Caol Uno,33,19,5,1.91,49.0,1.9,50%,1.95,31%,37%,0.5
Gleristone Santos,33,7,0,3.4,31.0,4.4,64%,0.0,0%,75%,0.0
Joe Stevenson,33,16,0,2.05,44.0,2.44,60%,2.75,44%,39%,2.2
Sam Alvey,33,18,1,3.28,44.0,3.63,52%,0.06,14%,82%,0.1
Anthony Ruiz,33,22,0,2.56,64.0,1.67,28%,1.43,31%,21%,0.0
Jason DeLucia,33,21,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Tim Means,33,17,1,5.04,49.0,3.65,60%,1.14,40%,64%,0.2
Antony Rea,33,15,0,2.89,28.0,5.42,42%,0.0,0%,100%,0.0
Glover Teixeira,33,9,0,3.73,49.0,4.43,51%,2.11,33%,60%,0.9
Evan Tanner,32,8,0,3.05,59.0,2.64,56%,2.55,43%,25%,1.3
Xavier Foupa-Pokam,32,22,0,1.47,43.0,2.5,49%,0.0,0%,16%,0.0
Dan Henderson,32,15,0,2.44,47.0,2.7,51%,1.52,52%,57%,0.3
Maxim Grishin,32,10,2,3.26,52.0,2.27,58%,0.21,16%,66%,0.0
Rafael Dos Anjos,32,17,0,3.48,47.0,3.23,60%,1.95,35%,54%,0.6
Shang Zhifa,32,8,0,1.27,32.0,1.27,60%,2.0,100%,0%,0.0
Carlos Condit,32,14,0,3.66,39.0,2.67,55%,0.59,46%,38%,1.0
Jiri Prochazka,32,5,1,5.69,55.0,5.6,45%,0.51,60%,68%,0.2
Chris Curtis,32,12,0,5.98,50.0,6.19,54%,0.0,0%,82%,0.0
